ID,Espèce,Chemin d'accès,Classe,Image_nettoyee
original_12,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\original_12.jpeg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\original_12.jpg
360_F_308163459_a59ogkxEaK1s14rY1bb0v1XL88AFqmbH2,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\360_F_308163459_a59ogkxEaK1s14rY1bb0v1XL88AFqmbH2.webp,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\360_F_308163459_a59ogkxEaK1s14rY1bb0v1XL88AFqmbH2.jpg
Housecat-Tracks-(1),Chat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chat\Housecat-Tracks-(1).jpg,1,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chat\Housecat-Tracks-(1).jpg
Dog-Tracks-(1),Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\Dog-Tracks-(1).jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\Dog-Tracks-(1).jpg
Red-Fox-Tracks-3,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\Red-Fox-Tracks-3.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\Red-Fox-Tracks-3.jpg
original (3),Castor,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Castor\original (3).png,0,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Castor\original (3).jpg
gettyimages-1331290460-612x612,Coyote,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Coyote\gettyimages-1331290460-612x612.jpg,3,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Coyote\gettyimages-1331290460-612x612.jpg
bd5f2d5204f6a6df213cd9270a888ad1,Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\bd5f2d5204f6a6df213cd9270a888ad1.jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\bd5f2d5204f6a6df213cd9270a888ad1.jpg
original,Puma,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Puma\original.jpeg,8,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Puma\original.jpg
a1e1ch,Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\a1e1ch.jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\a1e1ch.jpg
2856047-pistes-de-chien-au-sol-photo,Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\2856047-pistes-de-chien-au-sol-photo.jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\2856047-pistes-de-chien-au-sol-photo.jpg
dy4agr,Raton laveur,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Raton laveur\dy4agr.jpg,10,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Raton laveur\dy4agr.jpg
wolf-tracks-in-northern-spain-H6CMC1,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\wolf-tracks-in-northern-spain-H6CMC1.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\wolf-tracks-in-northern-spain-H6CMC1.jpg
Kangaroo-Rat-Tracks-3,Rat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Rat\Kangaroo-Rat-Tracks-3.jpg,9,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Rat\Kangaroo-Rat-Tracks-3.jpg
2pe9r7y,Raton laveur,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Raton laveur\2pe9r7y.jpg,10,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Raton laveur\2pe9r7y.jpg
original_12,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\original_12.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\original_12.jpg
Coyote-Tracks,Coyote,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Coyote\Coyote-Tracks.jpg,3,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Coyote\Coyote-Tracks.jpg
original_8,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\original_8.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\original_8.jpg
Cougar-Tracks-10,Puma,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Puma\Cougar-Tracks-10.jpg,8,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Puma\Cougar-Tracks-10.jpg
2pra1kd,Raton laveur,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Raton laveur\2pra1kd.jpg,10,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Raton laveur\2pra1kd.jpg
efp0ea,Raton laveur,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Raton laveur\efp0ea.jpg,10,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Raton laveur\efp0ea.jpg
e1x14n,Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\e1x14n.jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\e1x14n.jpg
gdb07r,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\gdb07r.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\gdb07r.jpg
gettyimages-960431882-612x612,Coyote,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Coyote\gettyimages-960431882-612x612.jpg,3,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Coyote\gettyimages-960431882-612x612.jpg
perftrack,Chat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chat\perftrack.jpg,1,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chat\perftrack.jpg
Black-Bear-Tracks-(1),Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\Black-Bear-Tracks-(1).jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\Black-Bear-Tracks-(1).jpg
67884285e4c274d0baa67af314243cfa,Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\67884285e4c274d0baa67af314243cfa.jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\67884285e4c274d0baa67af314243cfa.jpg
a5b3p4,Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\a5b3p4.jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\a5b3p4.jpg
2mx8ky0,Raton laveur,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Raton laveur\2mx8ky0.jpg,10,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Raton laveur\2mx8ky0.jpg
footprints-squirrel-on-white-snow-260nw-589730984,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\footprints-squirrel-on-white-snow-260nw-589730984.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\footprints-squirrel-on-white-snow-260nw-589730984.jpg
stock-photo-hunting-skis-and-rabbit-tracks-in-the-snow-2100619618,Lapin,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Lapin\stock-photo-hunting-skis-and-rabbit-tracks-in-the-snow-2100619618.jpg,5,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Lapin\stock-photo-hunting-skis-and-rabbit-tracks-in-the-snow-2100619618.jpg
-this-winter-abstract-background-featuring-rabbit-tracks-crossing-1301853814,Lapin,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Lapin\-this-winter-abstract-background-featuring-rabbit-tracks-crossing-1301853814.jpg,5,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Lapin\-this-winter-abstract-background-featuring-rabbit-tracks-crossing-1301853814.jpg
titres-de-loup-dans-la-neige,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\titres-de-loup-dans-la-neige.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\titres-de-loup-dans-la-neige.jpg
squirrel-footprints-snow-latin-name-260nw-2083174057,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\squirrel-footprints-snow-latin-name-260nw-2083174057.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\squirrel-footprints-snow-latin-name-260nw-2083174057.jpg
